PLANO,competencia,rent_perc,taxa_juros,VALVALOR,BD,meta_atuarial
BD-01,2021-04-01,1.0094407442913251,4.7,0.31,0.93,0.694663259089956
BD-01,2021-06-01,0.952903887110242,4.7,0.53,0.83,0.9155069029639362
BD-01,2021-07-01,0.7223819781732518,4.7,0.96,0.53,1.3471558432631037
BD-01,2021-08-01,0.6327429254688679,4.7,0.87,0.96,1.2568107162237219
BD-01,2021-09-01,0.9332240321161303,4.7,1.16,0.87,1.5479227922394534
BD-01,2021-10-01,0.3862226671101323,4.7,1.25,1.16,1.6382679192787908
BD-01,2021-11-01,1.6497884139388148,4.7,0.95,1.25,1.3371174958142884
BD-01,2021-12-01,0.4086482187297558,4.7,0.73,0.95,1.116273851940286
BD-01,2022-01-01,1.0211879207770835,4.7,0.54,0.73,0.9255452504127515
BD-01,2022-02-01,0.9481750253929846,4.7,1.01,0.54,1.39734758050718
BD-01,2022-03-01,2.1175073089469323,4.7,1.62,1.01,2.0096867748850444
BD-01,2022-04-01,1.096936684361367,4.7,1.06,1.62,1.4475393177512563
BD-01,2022-05-01,1.3333056673828299,4.7,0.47,1.06,0.8552768182710224
BD-01,2022-06-01,0.2511633473458562,4.7,0.67,0.47,1.0560437672473721
BD-01,2022-07-01,0.30006399085806296,4.7,-0.68,0.67,-0.2991331383430107
BD-01,2022-08-01,0.5921522941537872,4.7,-0.36,-0.68,0.022093980019155524
BD-01,2022-09-01,0.5218656012228239,4.7,-0.29,-0.36,0.09236241216088459
BD-01,2022-10-01,0.7812746779997555,4.7,0.59,-0.29,0.9757369876568278
BD-01,2022-11-01,0.5952731885501508,4.7,0.41,0.59,0.7950467335781086
BD-01,2022-12-01,1.327605283239578,4.7,0.62,0.41,1.0058520300032958
BD-01,2023-01-01,0.815926490054837,4.65,0.53,0.62,0.9114899656046616
BD-01,2023-02-01,0.8976930570269847,4.65,0.84,0.53,1.2226663496625267
BD-01,2023-03-01,1.7364675905336333,4.65,0.71,0.84,1.0921730273156793
BD-01,2023-04-01,1.4002022894451007,4.65,0.61,0.71,0.9917935485873386
BD-01,2023-05-01,1.496453543483493,4.65,0.23,0.61,0.6103515294196171
BD-01,2023-06-01,1.0866722978775911,4.65,-0.08,0.23,0.29917514536175194
BD-01,2023-07-01,0.5914600054328853,4.65,0.12,-0.08,0.49993410281845563
BD-01,2023-08-01,0.7983011082861245,4.65,0.23,0.12,0.6103515294196171
BD-01,2023-09-01,0.25850477316905524,4.65,0.26,0.23,0.6404653730381238
BD-01,2023-10-01,0.41298683377810236,4.65,0.24,0.26,0.6203894772924601
BD-01,2023-11-01,1.2830265924401405,4.65,0.28,0.24,0.6605412687837875
CD-02,2021-04-01,0.930856683713472,4.0,0.31,0.93,1.2604185562173464
CD-02,2021-06-01,0.3211599945702065,4.0,0.53,0.83,1.1600911822391202
